,Fichier,longitude,latitude
0,bankandi_2012_2019.csv,-3.076738953854546,11.24642900743378
2,fafo_2013_2019.csv,-3.0235269605934545,11.327129039863593
4,fondation_2012_2019.csv,-3.075492010764446,11.16354102609047
6,lare_2013_2019.csv,-3.095350971313788,11.192882962996158
8,tambiri_2012_2019.csv,-2.978072013559496,11.183946985964168
10,tambiri_2_2020_2023.csv,-2.9780721704776827,11.181859564305343
11,wahable_2012_2019_no18.csv,-3.073126997698917,11.325617036730744
13,yabogane_2012_2019.csv,-2.9681679754194024,11.261641000059694
15,dogue_2018.csv,-3.456803216176316,11.16775686923314
16,dogue_2020.csv,-3.4556521368179176,11.163761332957272
17,koundri_2013_2019.csv,-4.891321096503737,10.79199729716546
19,koupendri_2013_2019.csv,-4.836664250804898,10.77958096292384
21,nagassega_2013_2019.csv,-4.89838838018637,10.849681312777612
23,ouriyori1_2013_2019.csv,-4.932286440338462,10.821812050695147
25,ouriyori_pre_2013_2018.csv,-4.932770404191337,10.821683283010254
26,parc_2017_2018.csv,-3.457465238293101,10.855141237158772
28,pouri_2013_2019.csv,-4.888102817755495,10.913933869404802
29,wantehoun_2021.csv,-4.828875474055781,10.761629299276114
31,doninga_2013_2019.csv,-1.4202253377678715,10.617293683520128
32,gwosi_2016_2018.csv,-1.6483145774975618,10.47784630874752
33,nabugubelle_2013_2018.csv,-1.868630550705856,10.702410369598498
34,nebou_2013_2018.csv,-1.8799142212873217,11.305451923130402
35,oualem_2013_2018.csv,-1.309839600805018,11.204633456803904
36,tabou_2013_2018.csv,-2.168959558537765,11.36651256555298
37,aniabisidown_2014_2019.csv,-0.9131743885358732,10.842776013789388
38,aniabisimiddle_2013_2019.csv,-0.9121847968130966,10.84571585186016
39,aniabisiup_2014_2019.csv,-0.9106288975054428,10.847250876281388
40,bongoatampisi_2014_2019.csv,-0.8264771632039679,10.915013553841993
42,bongosoe_2012_2019.csv,-0.7827542917317742,10.972920848428451
44,manyoro_2014_2018.csv,-0.9958906076404396,10.981430559864837
